lastName,firstName,middleName,email,phoneNo,password,payerID,lawmaCustomerType,buildingType,houseNo,flatNo,address,lga,closestLandMark
Young,Robert,Sheryl,middletonmary@yahoo.com,447.766.5193,+9nXX@%jG0,UTy-0609,Industrial,Detached,73776,Flat-99,0914 Gregory Springs,Ikeja,Lucas River
Welch,Stanley,Keith,samanthajones@gmail.com,1129915057,o!0W&Xzj^#,yQZ-6205,Industrial,Duplex,0912,Flat-90,03121 Holmes Pass,Lekki,Carney Causeway
Pham,Savannah,Daniel,jessicajohnson@mann.com,(329)539-4603x715,L)5uEAi$fn,YdF-0838,Industrial,Flat,056,Flat-23,64588 Tammy Mountain,Alimosho,Antonio Extension
Evans,Tina,Samantha,donna17@johnson-charles.biz,898.634.4481,qfcj&Evd_3,hkr-0141,Residential,Semi-detached,930,Flat-16,77609 Mills Port,Kosofe,Lisa Haven
Lawrence,Darius,Cassandra,alexander38@yahoo.com,001-758-474-4083x388,0E8WNfqO$5,slH-4781,Commercial,Detached,749,Flat-08,4640 Ashley Pine,Eti-Osa,Jose Squares
Richmond,John,Edward,jason55@gmail.com,639.609.7265x4456,X9qN)F!s)e,nGg-0237,Residential,Semi-detached,87485,Flat-04,91009 Chandler Dam,Surulere,Tyler Well
Dixon,John,Timothy,fwhite@gmail.com,207.436.2503x7161,)1bIUhc*sh,Wpy-6213,Industrial,Bungalow,21737,Flat-72,631 Bryan Plain,Surulere,Luke Rest
Griffin,Kristina,Ashley,morrisgordon@baker-davis.info,2548704575,d99QvLCj%&,LqN-0084,Residential,Semi-detached,4192,Flat-47,0637 Edwards Hill Suite 284,Lekki,Garcia Ridge
Frederick,Shawn,Jason,wesley64@howard.com,(087)203-6360x703,Zf3HXjSx8#,ZDR-4345,Industrial,Flat,4034,Flat-29,76251 Eric Divide Apt. 009,Ikeja,Kerry Station
Nelson,Sarah,Abigail,bobbylee@gmail.com,416-200-8148x326,Cz9G&0Yb*o,cGj-6111,Industrial,Duplex,01428,Flat-14,5132 Scott Center,Ikeja,Wu View
Hines,Caitlin,Adam,andresbryant@wood-solis.com,+1-595-162-4841x574,ne9Lpay(!q,xuc-7752,Industrial,Bungalow,142,Flat-03,811 Theresa Flat,Alimosho,Matthew Turnpike
Andersen,Jodi,Thomas,jmcdonald@wheeler-gonzalez.biz,+1-462-086-6882x19928,$478AZama%,aDu-2977,Industrial,Bungalow,53775,Flat-91,9207 Clark Plaza,Surulere,Colton Rue
Stevens,Deborah,Terri,haley62@miller.com,(737)135-4094x105,!aXLhhc2G1,BUZ-1088,Residential,Detached,78723,Flat-51,4941 Sandy Point Apt. 976,Kosofe,Daniel Ramp
Colon,Holly,Brandi,jfloyd@yahoo.com,(008)589-7500x0299,#0bHdk!pBf,jYy-8704,Industrial,Bungalow,73293,Flat-38,82088 Ramsey Cove,Eti-Osa,Brandon Hills
Stuart,Brett,Barry,anthony63@morales.com,+1-883-250-7846x43288,)KLf2iLjU9,zPV-6862,Residential,Semi-detached,592,Flat-83,6558 Cabrera Neck,Ikeja,Ian Ranch
Kidd,Jacob,Alison,vincentmoore@gmail.com,(259)727-6332x6623,Q*g4mUrwn*,kOc-2356,Commercial,Flat,25678,Flat-38,77420 Jacobs Oval,Ikeja,Kathryn Radial
French,Benjamin,Daniel,jonesrobert@yahoo.com,988.779.1103,#aQzXAoA8Y,qSP-9350,Commercial,Semi-detached,3851,Flat-35,2678 Mclaughlin Hollow Suite 292,Kosofe,Smith Plaza
Reilly,Danielle,Brianna,meganhubbard@yahoo.com,016-298-8845,0(QST6Hu)q,VkL-1757,Residential,Detached,61967,Flat-21,9512 Moore Orchard Suite 189,Kosofe,Lindsey Turnpike
Chen,Ashley,Timothy,millermichelle@gmail.com,(674)210-0747,4%L7SCozG$,hOZ-1548,Residential,Flat,344,Flat-99,189 Bradshaw Estates Apt. 998,Alimosho,Brittany Via
Johnston,Gabrielle,Jim,heatherwood@walls.com,(639)813-6214x31723,+35RV2gzoW,xBZ-6253,Industrial,Detached,87075,Flat-69,81345 Bailey Summit,Lekki,Kristen Ways
